id_penyakit,solusi
P001,Gunakan fungisida dan potong daun terinfeksi
P002,Hindari kelembaban tinggi dan gunakan fungisida
P003,Semprot fungisida antraknose
P004,Cabut tanaman sakit dan perbaiki drainase
P005,Potong bagian mati dan kurangi kelembaban
P006,Simpan umbi di tempat kering
P007,Kendalikan vektor virus
P008,Gunakan nematisida
P009,Semprot insektisida ulat
P010,Kontrol hama trips
P011,Gunakan perangkap ulat tanah
P012,Semprot insektisida pengorok daun
